F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
10002,10001,0.057474,0.297874,0.04557,185.33,0,0,0,0,1,0,0,16.69,-3.33,-16.53,-0.56,0,0,0,0
10011,10001,0.027895,0.200986,0.06271,167.88,0,0,0,0,1,0,0,-6.88,-4.31,6.9,-1.98,0,0,0,0
10014,10002,0.028286,0.132954,0.07205,207.43,0,0,0,0,1,0,0,32.96,-3.43,-32.67,-2.71,0,0,0,0
10004,10003,0.012099,0.073288,0.01171,170.67,0,0,0,0,1,0,0,3.02,0.3,-3.02,-1.54,0,0,0,0
10003,10010,0.012423,0.079127,0.01766,201.54,0,0,0,0,1,0,0,20.03,7.04,-19.97,-8.55,0,0,0,0
10937,10003,0.009516,0.050189,0.02744,211.8,0,0,0,0,1,0,0,31.49,4.13,-31.4,-6.59,0,0,0,0
10004,10005,0.000201,0.001173,0,0,0,0,0,0,1,0,0,10.45,2.75,-10.45,-2.75,0,0,0,0
10004,10937,0.019482,0.100643,0.02121,195.1,0,0,0,0,1,0,0,-13.46,-3.05,13.5,0.95,0,0,0,0
10006,10007,0.000272,0.001137,0,0,0,0,0,0,1,0,0,-13.44,-1.28,13.44,1.28,0,0,0,0
10008,10007,0.00871,0.065557,0.0156,212.34,0,0,0,0,1,0,0,29.08,-6.48,-29,5.39,0,0,0,0
10007,13019,0.005848,0.038664,0.02062,218.55,0,0,0,0,1,0,0,-37.13,11.74,37.22,-13.33,0,0,0,0
10007,13028,0.018994,0.103855,0.1879,231.63,0,0,0,0,1,0,0,52.7,-18.41,-52.18,1.45,0,0,0,0
10008,10009,0.000236,0.001046,0,0,0,0,0,0,1,0,0,16.82,2.6,-16.82,-2.59,0,0,0,0
10016,10008,0.013033,0.083799,0.0301,229.92,0,0,0,0,1,0,0,53.15,-5.88,-52.8,4.97,0,0,0,0
13019,10008,0.01355,0.065214,0.032,184.78,0,0,0,0,1,0,0,-6.89,-2.24,6.9,-1.09,0,0,0,0
10014,10010,0.007781,0.030841,0.02241,197.37,0,0,0,0,1,0,0,13.53,4.3,-13.52,-6.59,0,0,0,0
10011,10020,0.022817,0.11103,0.02458,214.06,0,0,0,0,1,0,0,-25.14,-3.86,25.28,2.04,0,0,0,0
10013,10012,0.000261,0.019344,0,473.63,0,0,1,0,1,0,0,-198.45,-32.26,198.55,39.66,0,0,0,0
10012,10023,0.001396,0.016565,0.31452,1105.1,0,0,0,0,1,0,0,109.83,-6.21,-109.68,-25.53,0,0,0,0
10012,10987,0.000883,0.009393,0.17078,1237.08,0,0,0,0,1,0,0,-308.38,-33.45,309.17,23.43,0,0,0,0
10014,10013,0.002093,0.00845,0.00407,236.46,0,0,0,0,1,0,0,-71.51,-12.68,71.62,12.67,0,0,0,0
10013,10076,0.015367,0.101403,0.11511,239.71,0,0,0,0,1,0,0,69.04,-10.47,-68.34,2.94,0,0,0,0
10014,10015,0.00027,0.001089,0,0,0,0,0,0,1,0,0,25.01,11.81,-25.01,-11.8,0,0,0,0
10016,10017,0.00025,0.001152,0,0,0,0,0,0,1,0,0,25.9,7.17,-25.89,-7.16,0,0,0,0
10016,13463,0.008946,0.046857,0.19885,245.26,0,0,0,0,1,0,0,-79.04,-1.29,79.58,-16.92,0,0,0,0
10018,10032,0.002241,0.0146,0.03367,250.62,0,0,0,0,1,0,0,94.33,-6.19,-94.14,3.83,0,0,0,0
10018,10988,0.006284,0.038361,0.02021,263.59,0,0,0,0,1,0,0,-118.79,-0,119.62,2.91,0,0,0,0
10020,10019,0.000533,0.033552,0,445.05,0,0,0.975,0,1,0,0,-142.37,17.18,142.48,-10.83,0,0,0,0
10730,10019,0.002142,0.026863,0.58195,1150.4,0,0,0,0,1,0,0,142.91,-67.66,-142.48,10.83,0,0,0,0
10020,10029,0.005708,0.039706,0.02239,233.76,0,0,0,0,1,0,0,63.74,9.29,-63.51,-9.99,0,0,0,0
10021,13074,0.006464,0.035113,0.12496,251.36,0,0,0,0,1,0,0,90.3,-8.45,-89.8,-1.96,0,0,0,0
10021,13512,0.002495,0.018,0.01137,201.56,0,0,0,0,1,0,0,-16.89,2.33,16.9,-3.48,0,0,0,0
13690,10021,0.005193,0.037293,0.01323,247.31,0,0,0,0,1,0,0,82.73,-2.98,-82.4,3.99,0,0,0,0
10022,10024,0.001583,0.010843,0.00579,204.48,0,0,0,0,1,0,0,-18.22,-30.65,18.24,30.15,0,0,0,0
10022,10030,0.007083,0.036561,0.01221,210.69,0,0,0,0,1,0,0,-29.97,14.74,30.04,-15.67,0,0,0,0
10024,10023,0.000558,0.024885,0,465.77,0,0,1.03125,0,1,0,0,-176.1,-74.01,176.3,82.87,0,0,0,0
10730,10023,0.000587,0.00738,0.21892,1205.73,0,0,0,0,1,0,0,-304.21,0.52,304.73,-17.4,0,0,0,0
10987,10023,0.001084,0.012681,0.23685,1271.34,0,0,0,0,1,0,0,372.76,30.98,-371.35,-39.93,0,0,0,0
10024,10039,0.003249,0.013727,0.00413,261.21,0,0,0,0,1,0,0,113.9,34.89,-113.48,-33.54,0,0,0,0
10025,10858,0.006298,0.039083,0.03135,188.02,0,0,0,0,1,0,0,9.13,-7.42,-9.12,4.11,0,0,0,0
