BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
10001,1,9.64,2.54,0,0,1,1.0116409,-39.843601,138,1,1.1,0.9,20.77,0.28,0,0
10002,1,15.98,6.04,0,0,1,1.0170252,-37.043319,138,1,1.1,0.9,20.47,0.29,0,0
10003,1,14.39,1.09,0,0,1,1.0314498,-34.039098,138,1,1.1,0.9,20.08,0.26,0,0
10004,1,0,0,0,0,1,1.0324589,-33.926182,138,1,1.1,0.9,20.06,0.26,0,0
10005,1,10.45,2.75,0,0,1,1.0324073,-33.932471,138,1,1.1,0.9,20.06,0.26,0,0
10006,1,13.44,1.28,0,0,1,1.0255915,-35.816633,138,1,1.1,0.9,20.33,0.13,0,0
10007,1,0,0,0,0,1,1.0256414,-35.808499,138,1,1.1,0.9,20.33,0.13,0,0
10008,1,0,0,0,0,1,1.0243111,-34.741944,138,1,1.1,0.9,20.25,0.12,0,0
10009,1,16.82,2.59,0,0,1,1.0242459,-34.751218,138,1,1.1,0.9,20.25,0.12,0,0
10010,1,33.49,15.14,0,0,1,1.0230199,-34.84581,138,1,1.1,0.9,20.18,0.29,0,0
10011,1,32.02,8.17,0,0,1,1.0073858,-40.603606,138,1,1.1,0.9,20.77,0.29,0,0
10012,1,0,0,0,0,1,1.0354328,-32.265236,345,1,1.1,0.9,20.04,0.22,0,0
10013,1,57.79,30.06,0,0,1,1.0281891,-34.327064,138,1,1.1,0.9,20.07,0.26,0,0
10014,1,0,0,0,0,1,1.0256878,-34.64117,138,1,1.1,0.9,20.13,0.27,0,0
10015,1,25.01,11.8,0,0,1,1.0254965,-34.654275,138,1,1.1,0.9,20.13,0.27,0,0
10016,1,0,0,0,0,1,1.0266137,-32.284026,138,1,1.1,0.9,20.03,0.09,0,0
10017,1,25.89,7.16,0,0,1,1.0264701,-32.299269,138,1,1.1,0.9,20.03,0.09,0,0
10018,1,24.47,6.19,0,0,1,1.0320894,-35.370085,138,1,1.1,0.9,20.21,0.27,0,0
10019,1,0,0,0,0,1,1.038592,-36.540823,345,1,1.1,0.9,20.39,0.23,0,0
10020,1,53.35,4.54,0,32,1,1.0163177,-39.074648,138,1,1.1,0.9,20.48,0.26,0,0
10021,1,8.99,2.13,0,0,1,1.027115,-31.899164,138,1,1.1,0.9,19.91,0.11,0,0
10022,1,48.19,15.92,0,0,1,1.0405375,-35.691866,138,1,1.1,0.9,20.22,0.24,0,0
10023,1,0,0,0,0,1,1.032395,-33.232508,345,1,1.1,0.9,20.12,0.23,0,0
10024,1,43.96,8.97,0,0,1,1.0439774,-35.612977,138,1,1.1,0.9,20.19,0.22,0,0
10025,1,30.89,12.76,0,0,1,1.0333372,-32.720484,138,1,1.1,0.9,19.92,0.11,0,0
10026,1,18.65,4.97,0,0,1,1.0116824,-41.072887,138,1,1.1,0.9,20.4,0.18,0,0
10027,1,0,0,0,0,1,1.0038997,-41.072378,138,1,1.1,0.9,20.8,0.33,0,0
10028,1,32.23,12.72,0,0,1,1.0036898,-41.089378,138,1,1.1,0.9,20.81,0.33,0,0
10029,1,32.23,1.85,0,0,1,1.0089477,-40.455574,138,1,1.1,0.9,20.68,0.3,0,0
10030,1,0,0,0,0,1,1.0372316,-35.052342,138,1,1.1,0.9,20.17,0.25,0,0
10031,1,39.8,7.18,0,0,1,1.0370651,-35.073682,138,1,1.1,0.9,20.18,0.25,0,0
10032,1,41.5,5.68,0,0,1,1.0307508,-36.117109,138,1,1.1,0.9,20.29,0.27,0,0
10033,1,59.05,6.96,0,0,1,1.016838,-32.557944,138,1,1.1,0.9,19.94,0.17,0,0
10034,1,0,0,0,0,1,1.015676,-32.426001,138,1,1.1,0.9,19.92,0.18,0,0
10035,1,59.05,42.65,0,0,1,1.0151295,-32.454759,138,1,1.1,0.9,19.93,0.18,0,0
10036,1,0,0,0,0,1,1.0163185,-32.393034,138,1,1.1,0.9,19.92,0.17,0,0
10037,1,58.29,11.32,0,0,1,1.0338033,-32.093125,138,1,1.1,0.9,19.93,0.09,0,0
10038,1,36.59,13.17,0,0,1,1.0356734,-36.400225,138,1,1.1,0.9,20.33,0.26,0,0
10039,1,0,0,0,0,1,1.0359091,-36.38095,138,1,1.1,0.9,20.33,0.26,0,0
10040,1,43.57,13.69,0,0,1,1.030238,-37.084123,138,1,1.1,0.9,20.4,0.28,0,0
10041,1,20.08,9.93,0,0,1,1.0323228,-31.342346,138,1,1.1,0.9,19.87,0.09,0,0
10042,1,59.25,11.36,0,0,1,1.0328935,-33.190059,138,1,1.1,0.9,19.97,0.13,0,0
10043,1,0,0,0,0,1,1.0218061,-38.811021,138,1,1.1,0.9,20.55,0.3,0,0
10044,1,37.54,1.74,0,0,1,1.0216999,-38.834832,138,1,1.1,0.9,20.55,0.3,0,0
10045,1,25.35,12.91,0,0,1,1.0227844,-32.151262,138,1,1.1,0.9,19.93,0.13,0,0
10046,1,0,0,0,0,1,1.0222881,-34.51371,138,1,1.1,0.9,20.16,0.17,0,0
10047,1,45.76,5.94,0,0,1,1.0221304,-34.5383,138,1,1.1,0.9,20.16,0.17,0,0
10048,1,45.76,10.24,0,0,1,1.0226376,-34.487889,138,1,1.1,0.9,20.15,0.17,0,0
10049,1,0,0,0,0,1,1.0228477,-34.462782,138,1,1.1,0.9,20.15,0.17,0,0
10050,1,0,0,0,0,1,1.0226376,-34.487889,138,1,1.1,0.9,20.15,0.17,0,0
10051,1,0,0,0,0,1,1.0136499,-40.814996,138,1,1.1,0.9,20.37,0.18,0,0
10052,1,17.51,1.94,0,0,1,1.0135818,-40.825956,138,1,1.1,0.9,20.37,0.18,0,0
10053,1,43.68,4.56,0,0,1,1.0269065,-33.681628,138,1,1.1,0.9,20.12,0.13,0,0
10054,1,43.32,16.13,0,0,1,1.0046601,-41.058556,138,1,1.1,0.9,20.83,0.34,0,0
10055,1,17.57,5.16,0,0,1,1.0267267,-34.746926,138,1,1.1,0.9,20.14,0.16,0,0
10056,1,0,0,0,0,1,1.0268289,-34.738068,138,1,1.1,0.9,20.14,0.16,0,0
10057,1,0,0,0,0,1,1.0309544,-32.301317,345,1,1.1,0.9,20.07,0.17,0,0
10058,1,43.93,8.14,0,0,1,1.022309,-34.670766,138,1,1.1,0.9,20.13,0.2,0,0
10059,1,0,0,0,0,1,1.0317222,-32.205262,345,1,1.1,0.9,20.06,0.17,0,0
10060,1,43.93,27.62,0,0,1,1.0200555,-34.755574,138,1,1.1,0.9,20.16,0.2,0,0
10061,1,51.07,18.71,0,22,1,1.0261269,-38.072955,138,1,1.1,0.9,20.53,0.28,0,0
10062,1,0,0,0,0,1,1.0206114,-39.86985,138,1,1.1,0.9,20.66,0.3,0,0
10063,1,0,0,0,0,1,1.0207945,-39.850744,138,1,1.1,0.9,20.65,0.3,0,0
10064,1,36.24,9.3,0,0,1,1.0204151,-39.891009,138,1,1.1,0.9,20.66,0.3,0,0
10065,1,46.26,6.82,0,0,1,1.0197883,-39.702987,138,1,1.1,0.9,20.64,0.3,0,0
10066,1,0,0,0,0,1,1.0197883,-39.702987,13.8,1,1.1,0.9,20.64,0.3,0,0
10067,1,0,0,0,0,1,1.0197883,-39.702987,13.8,1,1.1,0.9,20.64,0.3,0,0
10068,1,0,0,0,0,1,1.0197883,-39.702987,1,1,1.1,0.9,20.64,0.3,0,0
10069,1,58.86,14.48,0,0,1,1.0127526,-33.015071,138,1,1.1,0.9,20.02,0.19,0,0
10070,1,11.07,0.16,0,0,1,1.0241138,-39.019209,138,1,1.1,0.9,20.58,0.28,0,0
10071,1,38.37,10.34,0,0,1,1.0257891,-35.009419,138,1,1.1,0.9,20.17,0.17,0,0
10072,1,0,0,0,0,1,1.0200845,-35.099512,138,1,1.1,0.9,20.17,0.21,0,0
10073,1,38.37,20.18,0,0,1,1.019747,-35.120206,138,1,1.1,0.9,20.18,0.22,0,0
10074,1,0,0,0,0,1,1.0142579,-33.366167,138,1,1.1,0.9,20.06,0.19,0,0
10075,1,14.72,4.64,0,0,1,1.0141746,-33.374569,138,1,1.1,0.9,20.06,0.19,0,0
10076,1,27.96,2.98,0,0,1,1.0245081,-38.174506,138,1,1.1,0.9,20.53,0.28,0,0
10077,1,28.46,7.93,0,0,1,1.0263241,-34.86003,138,1,1.1,0.9,20.19,0.24,0,0
10078,1,0,0,0,0,1,1.0323963,-34.304647,345,1,1.1,0.9,20.25,0.24,0,0
10079,1,55.86,12.51,0,0,1,1.0223918,-38.194635,138,1,1.1,0.9,20.41,0.3,0,0
10080,1,0,0,0,0,1,1.0164502,-43.75875,24,1,1.1,0.9,20.64,0.35,0,0
10081,1,0,0,0,0,1,1.0164502,-43.75875,1,1,1.1,0.9,20.64,0.35,0,0
10082,1,0,0,0,0,1,1.0201843,-39.061951,138,1,1.1,0.9,20.55,0.3,0,0
10083,1,22.32,8.77,0,0,1,1.0200317,-39.073656,138,1,1.1,0.9,20.55,0.3,0,0
10084,1,0,0,0,0,1,1.0299458,-38.147505,138,1,1.1,0.9,19.91,0.12,0,0
10085,1,40.86,5.87,0,0,1,1.0297888,-38.172812,138,1,1.1,0.9,19.91,0.12,0,0
10086,1,0,0,0,0,1,1.0300854,-38.125976,138,1,1.1,0.9,19.9,0.12,0,0
10087,1,10.87,8.58,0,0,1,1.0159507,-39.839459,138,1,1.1,0.9,20.69,0.28,0,0
10088,1,0,0,0,0,1,1.0293828,-39.37408,138,1,1.1,0.9,20.56,0.26,0,0
10089,1,33.23,4.19,0,0,1,1.029255,-39.393691,138,1,1.1,0.9,20.57,0.26,0,0
10090,1,33.23,6.75,0,0,1,1.0239085,-39.445412,138,1,1.1,0.9,20.6,0.29,0,0
10091,1,37.67,4.7,0,0,1,1.0257154,-33.716736,138,1,1.1,0.9,20.05,0.22,0,0
10092,1,31.46,1.7,0,0,1,1.0251786,-34.96772,138,1,1.1,0.9,20.21,0.25,0,0
10093,1,31.46,11.16,0,0,1,1.0241716,-35.703976,138,1,1.1,0.9,20.27,0.25,0,0
10094,1,0,0,0,0,1,1.0245425,-38.368017,138,1,1.1,0.9,20.53,0.28,0,0
10095,1,0,0,0,0,1,1.0246287,-38.358101,138,1,1.1,0.9,20.53,0.28,0,0
10096,1,18.02,4.43,0,0,1,1.0244613,-38.377859,138,1,1.1,0.9,20.54,0.28,0,0
10097,1,31.02,5.28,0,0,1,1.0266602,-34.230127,138,1,1.1,0.9,20.09,0.23,0,0
10098,1,19.84,5.6,0,0,1,1.0217068,-35.309703,138,1,1.1,0.9,20.19,0.21,0,0
10099,1,0,0,0,0,1,1.0218257,-35.298217,138,1,1.1,0.9,20.19,0.21,0,0
10100,1,0,0,0,0,1,1.0338955,-35.540866,138,1,1.1,0.9,20.24,0.24,0,0
10101,1,0,0,0,0,1,1.0340507,-35.52283,138,1,1.1,0.9,20.24,0.24,0,0
10102,1,33.88,8.27,0,0,1,1.0337126,-35.56075,138,1,1.1,0.9,20.24,0.25,0,0
10103,1,0,0,0,0,1,1.0284028,-35.422526,138,1,1.1,0.9,20.25,0.27,0,0
10104,1,57.74,17.1,0,0,1,1.0280648,-35.452356,138,1,1.1,0.9,20.26,0.27,0,0
10105,1,0,0,0,0,1,1.0287312,-35.389824,138,1,1.1,0.9,20.25,0.27,0,0
10106,1,51.34,13.64,0,0,1,1.0192143,-39.776461,138,1,1.1,0.9,20.2,0.16,0,0
10107,1,26.95,1.82,0,0,1,1.0245852,-37.648532,138,1,1.1,0.9,20.51,0.22,0,0
10108,1,0,0,0,0,1,1.0246615,-37.631602,138,1,1.1,0.9,20.51,0.22,0,0
10109,1,0,0,0,0,1,1.0245852,-37.648532,138,1,1.1,0.9,20.51,0.22,0,0
10110,1,12.48,4.31,0,0,1,1.0311561,-33.816421,138,1,1.1,0.9,20.02,0.14,0,0
10111,1,0,0,0,0,1,1.0312285,-33.809593,138,1,1.1,0.9,20.02,0.14,0,0
10112,1,11.2,2.7,0,0,1,1.0277943,-34.460854,138,1,1.1,0.9,20.11,0.16,0,0
10113,1,0,0,0,0,1,1.0259636,-38.991283,138,1,1.1,0.9,20.53,0.29,0,0
10114,1,31.06,13.53,0,0,1,1.025748,-39.008558,138,1,1.1,0.9,20.53,0.29,0,0
10115,1,31.06,11.74,0,0,1,1.0251626,-38.961182,138,1,1.1,0.9,20.52,0.3,0,0
10116,1,47.94,5.39,0,0,1,1.0362135,-33.812278,138,1,1.1,0.9,20.03,0.16,0,0
10117,1,0,0,0,0,1,1.0371168,-29.973999,345,1,1.1,0.9,19.91,0.11,0,0
10118,1,45.39,21.63,0,0,1,1.0360956,-33.838935,138,1,1.1,0.9,20.02,0.17,0,0
10119,1,0,0,0,0,1,1.0362398,-34.19728,13.8,1,1.1,0.9,20.03,0.17,0,0
10120,1,0,0,0,0,1,1.0362398,-34.19728,1,1,1.1,0.9,20.03,0.17,0,0
10121,1,0,0,0,0,1,1.0177915,-38.974238,138,1,1.1,0.9,20.55,0.31,0,0
10122,1,35.43,19.18,0,0,1,1.0174988,-38.994027,138,1,1.1,0.9,20.55,0.31,0,0
