GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
10683,0,0,61.16,-7.8,1.0464,207.74,0,159.27,52.01,0,0,0,0,0,0,0,0,0,0,159.27,0,0,0,0
10684,85.29,58.95,61.16,-7.8,1.0203,201.13,1,85.29,85.29,0,0,0,0,0,0,0,0,0,0,159.2667,0,0,0,0
10685,138.65,58.95,61.16,-7.8,1.0203,217.36,1,138.65,138.65,0,0,0,0,0,0,0,0,0,0,159.2667,0,0,0,0
10686,0,0,61.16,-7.8,1.0464,214.15,0,159.27,56.04,0,0,0,0,0,0,0,0,0,0,159.2667,0,0,0,0
10687,120.63,58.95,61.16,-7.8,1.019,188.08,1,120.63,120.63,0,0,0,0,0,0,0,0,0,0,159.2667,0,0,0,0
10688,109.93,58.95,61.16,-7.8,1.0208,201.28,1,109.93,109.93,0,0,0,0,0,0,0,0,0,0,159.2667,0,0,0,0
10689,9.02,4.95,4.95,-0.63,1.0014,12.9,1,9.02,9.02,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0
10691,59.72,21.07,21.07,-14.24,1.0063,98.92,1,59.72,59.72,0,0,0,0,0,0,0,0,0,0,98.9,0,0,0,0
10694,23.02,4.19,13.44,-1.71,1.0483,35.08,1,23.02,23.02,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
10695,25.55,4.19,13.44,-1.71,1.0484,41.36,1,25.55,25.55,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
10699,79.42,-14.5,21.45,-14.5,1.0019,120.64,1,79.42,79.42,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,0
10703,136.3,25.92,29.03,-19.63,1.0605,174.64,1,136.3,136.3,0,0,0,0,0,0,0,0,0,0,136.3,0,0,0,0
10710,171.16,-10.61,83.17,-10.61,1.0096,238.48,1,171.16,171.16,0,0,0,0,0,0,0,0,0,0,216.6,0,0,0,0
10711,189.67,-10.61,83.17,-10.61,1.01,219.83,1,189.67,189.67,0,0,0,0,0,0,0,0,0,0,216.6,0,0,0,0
10712,135.95,-10.61,83.17,-10.61,1.0097,219.92,1,135.95,135.95,0,0,0,0,0,0,0,0,0,0,216.6,0,0,0,0
10713,189.37,-10.61,83.17,-10.61,1.01,259.93,1,189.37,189.37,0,0,0,0,0,0,0,0,0,0,216.6,0,0,0,0
10714,0,0,83.17,-10.61,1.0296,235.85,0,216.6,42.73,0,0,0,0,0,0,0,0,0,0,216.6,0,0,0,0
10715,172.43,-10.61,83.17,-10.61,1.0166,279.75,1,172.43,172.43,0,0,0,0,0,0,0,0,0,0,216.6,0,0,0,0
10722,0,0,40.28,-5.14,1.0344,131.4,0,104.9,32.78,0,0,0,0,0,0,0,0,0,0,104.9,0,0,0,0
10723,82.25,40.28,40.28,-5.14,1.0007,152.84,1,82.25,82.25,0,0,0,0,0,0,0,0,0,0,104.9,0,0,0,0
10724,104.9,40.28,40.28,-5.14,1.0018,115.76,1,104.9,104.9,0,0,0,0,0,0,0,0,0,0,104.9,0,0,0,0
10725,71.29,40.28,40.28,-5.14,1.0026,116.27,1,71.29,71.29,0,0,0,0,0,0,0,0,0,0,104.9,0,0,0,0
10726,71.08,40.28,40.28,-5.14,1.0029,106.56,1,71.08,71.08,0,0,0,0,0,0,0,0,0,0,104.9,0,0,0,0
10727,0,0,40.28,-5.14,1.0344,122.59,0,104.9,28.25,0,0,0,0,0,0,0,0,0,0,104.9,0,0,0,0
10728,23.81,-1.37,10.73,-1.37,1.0177,32.27,1,23.81,23.81,0,0,0,0,0,0,0,0,0,0,27.95,0,0,0,0
10728,0,0,10.73,-1.37,1.0177,35.8,0,27.95,6.98,0,0,0,0,0,0,0,0,0,0,27.95,0,0,0,0
10729,0,0,10.73,-1.37,1.0133,27.95,0,27.95,6.03,0,0,0,0,0,0,0,0,0,0,27.95,0,0,0,0
10729,20.46,-1.37,10.73,-1.37,1.0133,32.33,1,20.46,20.46,0,0,0,0,0,0,0,0,0,0,27.95,0,0,0,0
10731,0,0,6.5,-0.83,1.0172,18.62,0,16.92,5.64,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
10731,0,0,6.5,-0.83,1.0172,21.25,0,16.92,6.86,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
10731,0,0,6.5,-0.83,1.0172,16.92,0,16.92,3.04,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
10731,9.83,-0.83,6.5,-0.83,1.0172,19.89,1,9.83,9.83,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
10731,0,0,6.5,-0.83,1.0172,20.51,0,16.92,4.16,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
10737,158.5,81.01,81.01,-17.67,1.0343,193.29,1,159.15,72.55,0,0,0,0,0,0,0,0,0,0,159.15,0,0,0,0
10738,158.5,81.01,81.01,-17.67,1.0344,195.43,1,159.15,58.54,0,0,0,0,0,0,0,0,0,0,159.15,0,0,0,0
10742,80,-3.92,30.72,-3.92,1.0263,96.14,1,80,80,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
10743,0,0,30.72,-3.92,1.0265,93.18,0,80,31.97,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
10744,64.23,-3.92,30.72,-3.92,1.0262,106.35,1,64.23,64.23,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
10746,66.35,-12.96,19.17,-12.96,1.0205,98.26,1,66.35,66.35,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
10750,409.37,-20.06,157.2,-20.06,1.0419,498.65,1,409.37,409.37,0,0,0,0,0,0,0,0,0,0,409.37,0,0,0,0
10751,0,0,157.2,-20.06,1.0433,454.46,0,409.37,47.4,0,0,0,0,0,0,0,0,0,0,409.3667,0,0,0,0
10752,293.05,-20.06,157.2,-20.06,1.0421,417.45,1,293.05,293.05,0,0,0,0,0,0,0,0,0,0,409.3667,0,0,0,0
10753,0,0,157.2,-20.06,1.0433,459.34,0,409.37,49.62,0,0,0,0,0,0,0,0,0,0,409.3667,0,0,0,0
10754,323.1,-20.06,157.2,-20.06,1.0417,487.04,1,323.1,323.1,0,0,0,0,0,0,0,0,0,0,409.3667,0,0,0,0
10755,333.93,-20.06,157.2,-20.06,1.0413,548.59,1,333.93,333.93,0,0,0,0,0,0,0,0,0,0,409.37,0,0,0,0
10757,40.5,-1.98,15.55,-1.98,1.0231,45.68,1,40.5,40.5,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0
10757,40.5,-1.98,15.55,-1.98,1.0231,47.33,1,40.5,40.5,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0
10757,28.94,-1.98,15.55,-1.98,1.0231,57.72,1,28.94,28.94,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0
10757,0,0,15.55,-1.98,1.0231,56.8,0,40.5,9.58,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0
10758,0,0,21.35,-2.72,1.04,64.74,0,55.6,19.42,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,0
10758,55.6,21.35,21.35,-2.72,1.04,63.99,1,55.6,55.6,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,0
10760,0,0,0,0,1.04,69.12,0,61.5,13.06,0,0,0,0,0,0,0,0,0,0,61.5,0,0,0,0
10768,212.51,56.83,56.83,-38.42,1.0304,301.55,1,212.51,212.51,0,0,0,0,0,0,0,0,0,0,266.8,0,0,0,0
10771,51.82,19.9,19.9,-2.54,1.0384,72.35,1,51.82,51.82,0,0,0,0,0,0,0,0,0,0,51.825,0,0,0,0
10772,41.62,19.9,19.9,-2.54,1.0394,52.68,1,41.62,41.62,0,0,0,0,0,0,0,0,0,0,51.825,0,0,0,0
10773,0,0,19.9,-2.54,1.0317,66.71,0,51.82,20.88,0,0,0,0,0,0,0,0,0,0,51.83,0,0,0,0
